Oppdrag_ID,Dato_og_Tid,Time,Skift,Er_helg,c_eff,bind_min,n_aktive,kap_prosedyre,kap_beste_evne,Overordnet_oppdragstype
2874233,2025-01-01 00:04:57,0,Natt,False,2,17.166666666666664,0,Normal,Normal,Brann
2874290,2025-01-01 00:31:55,0,Natt,False,2,12.966666666666667,0,Normal,Normal,Brann
2874297,2025-01-01 00:35:34,0,Natt,False,2,6.9,1,Svikt,Degradert,Andre typer oppdrag
2874321,2025-01-01 00:52:15,0,Natt,False,2,11.583333333333334,0,Normal,Normal,Brann
2874337,2025-01-01 01:05:14,1,Natt,False,2,15.283333333333333,0,Normal,Normal,Brann
2874342,2025-01-01 01:16:17,1,Natt,False,2,12.2,1,Svikt,Degradert,Brann
2874350,2025-01-01 01:21:31,1,Natt,False,2,12.05,1,Svikt,Degradert,Brann
2874355,2025-01-01 01:27:53,1,Natt,False,2,14.183333333333334,2,Svikt,Svikt,Ulykke
2874370,2025-01-01 01:42:22,1,Natt,False,2,11.766666666666667,0,Normal,Normal,Brann
2874376,2025-01-01 01:48:48,1,Natt,False,2,8.716666666666667,1,Svikt,Degradert,Brann
2874435,2025-01-01 03:38:52,3,Natt,False,2,12.666666666666666,0,Normal,Normal,Brann
2874440,2025-01-01 03:54:18,3,Natt,False,2,29.216666666666665,0,Normal,Normal,Andre typer oppdrag
2874612,2025-01-01 10:36:26,10,Dag,False,3,10.516666666666666,0,Normal,Normal,Andre typer oppdrag
2874646,2025-01-01 11:26:21,11,Dag,False,3,13.066666666666666,0,Normal,Normal,Unødige og falske utrykninger
2874654,2025-01-01 11:56:20,11,Dag,False,3,12.966666666666667,0,Normal,Normal,Andre typer oppdrag
2874700,2025-01-01 12:55:19,12,Dag,False,3,13.166666666666666,0,Normal,Normal,Andre typer oppdrag
2874733,2025-01-01 13:32:09,13,Dag,False,3,14.733333333333333,0,Normal,Normal,Andre typer oppdrag
2874754,2025-01-01 13:52:03,13,Dag,False,3,13.433333333333334,0,Normal,Normal,Unødige og falske utrykninger
