sentral,totalvolum,D,utrykningsrate_pct,pct_rykket_av_varslet,pct_fremme_av_varslet,brannrelatert_n,brannrelatert_pct,arbmengde_timer_aar,arbmengde_timer_per_dag,c_total_dag,c_eff_dag,anrop_per_ceff,rang_totalvolum,rang_D,rang_arbmengde_timer_aar,rang_anrop_per_ceff
Oslo,71421,17811,24.938043432603855,98.8,84.9,24452,34.2,7071.0,19.4,5.0,4.0,17855.25,1,1,1,3
Sør-Øst,68654,14174,20.64555597634515,91.6,71.4,21202,30.9,5986.0,16.4,6.0,5.0,13730.8,2,2,2,8
Sør-Vest,61934,7527,12.153259921852294,91.7,77.0,15255,24.6,4193.0,11.5,4.0,3.0,20644.666666666668,3,6,4,1
Øst,58138,12478,21.46272661598266,95.6,79.3,17174,29.5,5064.0,13.9,6.0,5.0,11627.6,4,3,3,9
Vest,50778,8041,15.83559809366261,91.0,81.8,13392,26.4,3815.0,10.5,4.0,3.0,16926.0,5,5,5,4
Innlandet,44001,6600,14.999659098656847,92.1,80.5,10414,23.7,3249.0,8.9,4.0,3.0,14667.0,6,7,7,6
Midt-Norge,41374,8043,19.43974476724513,92.4,86.6,9868,23.9,3404.0,9.3,4.0,3.0,13791.333333333334,7,4,6,7
Nordland,29577,2749,9.294384149846165,77.6,67.2,6291,21.3,1804.0,4.9,3.0,2.0,14788.5,8,11,10,5
Møre og Romsdal,29384,3492,11.884018513476722,88.9,79.1,5560,18.9,1845.0,5.1,4.0,3.0,9794.666666666666,9,10,9,10
Agder,26238,6409,24.42640445155881,90.2,73.1,9401,35.8,2421.0,6.6,4.0,3.0,8746.0,10,8,8,11
Tromsø,19327,3927,20.318725099601593,75.0,61.4,6730,34.8,1725.0,4.7,2.0,1.0,19327.0,11,9,11,2
Finnmark,7402,1281,17.30613347743853,73.8,63.9,2272,30.7,599.0,1.6,3.0,2.0,3701.0,12,12,12,12
