Oppdrag_ID,110_ID,Oppdragstype,Opprinnelig_oppdragstype,v3_kat
2874229,B06-250101-1,Oppdrag løst av 110,Brann annet,L-hendelse
2874233,B06-250101-2,Brannhindrende annet utenfor bygg,Brann annet,D-pri1
2874244,B06-250101-3,Oppdrag løst av 110,,L-ukjent
2874261,B06-250101-4,Oppdrag løst av 110,,L-ukjent
2874252,B06-250101-6,Oppdrag løst av 110,ABA,L-hendelse
2874248,B06-250101-7,Nødanrop 112 viderekoble,,V
2874254,B06-250101-8,Oppdrag løst av 110,,L-ukjent
2874251,B06-250101-9,Oppdrag løst av 110,Brann annet,L-hendelse
2874249,B06-250101-10,Oppdrag løst av 110,ABA,L-hendelse
2874272,B06-250101-11,Oppdrag løst av 110,Andre oppdrag/assistanse,L-hendelse
2874485,B06-250101-12,Oppdrag løst av 110,,L-ukjent
2874290,B06-250101-13,Brann annet,,D-pri1
2874295,B06-250101-14,Oppdrag løst av 110,Brann annet,L-hendelse
2874297,B06-250101-15,Trussel om selvdrap,Trussel om selvdrap - land,D-pri1
2874321,B06-250101-17,Brann annet,Brann annet,D-pri1
2874325,B06-250101-18,Oppdrag løst av 110,,L-ukjent
2874337,B06-250101-19,Brann annet,Eksplosjon,D-pri1
2874342,B06-250101-20,Brann i søppelcontainer,Brann annet,D-pri1
2874345,B06-250101-21,Oppdrag løst av 110,,L-ukjent
2874346,B06-250101-22,Oppdrag løst av 110,Brann annet,L-hendelse
2874349,B06-250101-23,Oppdrag løst av 110,Brann annet,L-hendelse
2874350,B06-250101-24,Brann i søppelkasse,Brann annet,D-pri1
2874353,B06-250101-25,Oppdrag løst av 110,,L-ukjent
2874355,B06-250101-26,Trafikkulykke,Trafikkulykke,D-pri1
2874363,B06-250101-27,Oppdrag løst av 110,Brann annet,L-hendelse
2874484,B06-250101-28,Oppdrag løst av 110,,L-ukjent
2874370,B06-250101-29,Brann i bygning,Brann i bygning,D-pri1
2874376,B06-250101-30,Brann annet,Brann i bygning,D-pri1
2874391,B06-250101-32,Oppdrag løst av 110,ABA,L-hendelse
2874401,B06-250101-33,Oppdrag løst av 110,,L-ukjent
2874402,B06-250101-34,Oppdrag løst av 110,,L-ukjent
2874404,B06-250101-35,Nødanrop feilring,,F
2874405,B06-250101-36,Oppdrag løst av 110,ABA,L-aba
2874415,B06-250101-37,Nødanrop feilring,,F
2874420,B06-250101-38,Nødanrop 112 viderekoble,,V
2874418,B06-250101-39,Oppdrag løst av 110,Røykvarsler,L-hendelse
2874428,B06-250101-40,Oppdrag løst av 110,ABA,L-aba
2874435,B06-250101-43,Brann i bygning,ABA,D-aba
2874483,B06-250101-45,Oppdrag løst av 110,,L-ukjent
2874440,B06-250101-47,Beredskapsoppdrag,,D-pri1
2874482,B06-250101-49,Oppdrag løst av 110,,L-ukjent
2874474,B06-250101-50,Oppdrag løst av 110,,L-ukjent
2874467,B06-250101-51,Oppdrag løst av 110,Andre oppdrag/assistanse,L-hendelse
2874494,B06-250101-53,Oppdrag løst av 110,Andre oppdrag/assistanse,L-hendelse
2874496,B06-250101-54,Oppdrag løst av 110,,L-ukjent
2874503,B06-250101-55,Oppdrag løst av 110,,L-ukjent
2874509,B06-250101-56,Ikke reell nødmelding,,F
2874514,B06-250101-57,Oppdrag løst av 110,,L-ukjent
2874542,B06-250101-58,Nødanrop feilring,,F
2874624,B06-250101-59,Nødanrop feilring,,F
2874614,B06-250101-60,Oppdrag løst av 110,,L-ukjent
2874612,B06-250101-61,Andre oppdrag,,D-pri1
2874622,B06-250101-62,Oppdrag løst av 110,,L-ukjent
2874646,B06-250101-64,Unødig kontroll av melding,,D-pri1
2874654,B06-250101-65,RVR uten foregående innsats,RVR uten foregående innsats,D-pri1
2874655,B06-250101-66,Oppdrag løst av 110,,L-ukjent
2874676,B06-250101-67,Oppdrag løst av 110,,L-ukjent
2874684,B06-250101-68,Oppdrag løst av 110,Bistand politi - Ikke akutt,L-hendelse
2874736,B06-250101-69,Oppdrag løst av 110,,L-ukjent
2874744,B06-250101-70,Oppdrag løst av 110,,L-ukjent
2874700,B06-250101-71,Beredskapsoppdrag,,D-pri1
2874718,B06-250101-72,Oppdrag løst av 110,,L-ukjent
2874733,B06-250101-73,Heisstopp,Heisalarm,D-pri1
2874735,B06-250101-74,Oppdrag løst av 110,Heisalarm,L-hendelse
2874737,B06-250101-75,Oppdrag løst av 110,,L-ukjent
2874831,B06-250101-76,Oppdrag løst av 110,,L-ukjent
2874738,B06-250101-77,Oppdrag løst av 110,,L-ukjent
